Position,code,Geography,Treatment,vialnum,Sex,PLATE,cfuA,cfuL,repexp,exp,total,GT,starved,bigexp,GS,TS,TG,aperc,lperc
41,L Control F #2 41 caro,L,Control,L Control F #2 41 caro,F,N,3768320,580,L Control F #2 41 caro,carorep1,3768900,LControl,N,Caro,LF,ControlF,LControl,0.999846109,0.000153891
43,L Control M #2 43 caro,L,Control,L Control M #2 43 caro,M,N,2519040,1000,L Control M #2 43 caro,carorep1,2520040,LControl,N,Caro,LM,ControlM,LControl,0.999603181,0.000396819
47,L Control M #3 47 caro,L,Control,L Control M #3 47 caro,M,N,573440,0,L Control M #3 47 caro,carorep1,573440,LControl,N,Caro,LM,ControlM,LControl,1,0
49,D Choice F #1 49 caro,D,Choice,D Choice F #1 49 caro,F,N,4444160,3840,D Choice F #1 49 caro,carorep1,4448000,DChoice,N,Caro,DF,ChoiceF,DChoice,0.999136691,0.000863309
51,D Choice M #1 51 caro,D,Choice,D Choice M #1 51 caro,M,N,276480,100,D Choice M #1 51 caro,carorep1,276580,DChoice,N,Caro,DM,ChoiceM,DChoice,0.999638441,0.000361559
53,D Choice F #2 53 caro,D,Choice,D Choice F #2 53 caro,F,N,2170880,40,D Choice F #2 53 caro,carorep1,2170920,DChoice,N,Caro,DF,ChoiceF,DChoice,0.999981575,1.84E-05
55,D Choice M #2 55 caro,D,Choice,D Choice M #2 55 caro,M,N,134400,180,D Choice M #2 55 caro,carorep1,134580,DChoice,N,Caro,DM,ChoiceM,DChoice,0.998662506,0.001337494
57,D Choice F #3 57 caro,D,Choice,D Choice F #3 57 caro,F,N,870400,20,D Choice F #3 57 caro,carorep1,870420,DChoice,N,Caro,DF,ChoiceF,DChoice,0.999977023,2.30E-05
59,D Choice M #3 59 caro,D,Choice,D Choice M #3 59 caro,M,N,839680,2240,D Choice M #3 59 caro,carorep1,841920,DChoice,N,Caro,DM,ChoiceM,DChoice,0.997339415,0.002660585
61,D Control F #1 61 caro,D,Control,D Control F #1 61 caro,F,N,1351680,0,D Control F #1 61 caro,carorep1,1351680,DControl,N,Caro,DF,ControlF,DControl,1,0
63,D Control M #1 63 caro,D,Control,D Control M #1 63 caro,M,N,1914880,0,D Control M #1 63 caro,carorep1,1914880,DControl,N,Caro,DM,ControlM,DControl,1,0
65,D Control F #2 65 caro,D,Control,D Control F #2 65 caro,F,N,5488640,20,D Control F #2 65 caro,carorep1,5488660,DControl,N,Caro,DF,ControlF,DControl,0.999996356,3.64E-06
67,D Control M #2 67 caro,D,Control,D Control M #2 67 caro,M,N,317440,140,D Control M #2 67 caro,carorep1,317580,DControl,N,Caro,DM,ControlM,DControl,0.999559166,0.000440834
71,D Control M #3 71 caro,D,Control,D Control M #3 71 caro,M,N,675840,0,D Control M #3 71 caro,carorep1,675840,DControl,N,Caro,DM,ControlM,DControl,1,0
73,VA Choice F #1 73 caro,VA,Choice,VA Choice F #1 73 caro,F,N,5120000,506880,VA Choice F #1 73 caro,carorep1,5626880,VAChoice,N,Caro,VAF,ChoiceF,VAChoice,0.909918107,0.090081893
75,VA Choice M #1 75 caro,VA,Choice,VA Choice M #1 75 caro,M,N,614400,15360,VA Choice M #1 75 caro,carorep1,629760,VAChoice,N,Caro,VAM,ChoiceM,VAChoice,0.975609756,0.024390244
77,VA Choice F #2 77 caro,VA,Choice,VA Choice F #2 77 caro,F,N,3891200,12000,VA Choice F #2 77 caro,carorep1,3903200,VAChoice,N,Caro,VAF,ChoiceF,VAChoice,0.9969256,0.0030744
81,VA Choice F #3 81 caro,VA,Choice,VA Choice F #3 81 caro,F,N,2775040,24320,VA Choice F #3 81 caro,carorep1,2799360,VAChoice,N,Caro,VAF,ChoiceF,VAChoice,0.9913123,0.0086877
83,VA Choice M #3 83 caro,VA,Choice,VA Choice M #3 83 caro,M,N,1003520,61440,VA Choice M #3 83 caro,carorep1,1064960,VAChoice,N,Caro,VAM,ChoiceM,VAChoice,0.942307692,0.057692308
85,VA Control F #1 85 caro,VA,Control,VA Control F #1 85 caro,F,N,2324480,6720,VA Control F #1 85 caro,carorep1,2331200,VAControl,N,Caro,VAF,ControlF,VAControl,0.997117364,0.002882636
87,VA Control M #1 87 caro,VA,Control,VA Control M #1 87 caro,M,N,368640,260,VA Control M #1 87 caro,carorep1,368900,VAControl,N,Caro,VAM,ControlM,VAControl,0.999295202,0.000704798
89,VA Control F #2 89 caro,VA,Control,VA Control F #2 89 caro,F,N,2017280,200,VA Control F #2 89 caro,carorep1,2017480,VAControl,N,Caro,VAF,ControlF,VAControl,0.999900866,9.91E-05
91,VA Control M #2 91 caro,VA,Control,VA Control M #2 91 caro,M,N,64000,20,VA Control M #2 91 caro,carorep1,64020,VAControl,N,Caro,VAM,ControlM,VAControl,0.999687598,0.000312402
93,VA Control F #3 93 caro,VA,Control,VA Control F #3 93 caro,F,N,2293760,60,VA Control F #3 93 caro,carorep1,2293820,VAControl,N,Caro,VAF,ControlF,VAControl,0.999973843,2.62E-05
95,VA Control M #3 95 caro,VA,Control,VA Control M #3 95 caro,M,N,286720,40,VA Control M #3 95 caro,carorep1,286760,VAControl,N,Caro,VAM,ControlM,VAControl,0.999860511,0.000139489
97,PA Choice F #1 97 caro,PA,Choice,PA Choice F #1 97 caro,F,N,1116160,560,PA Choice F #1 97 caro,carorep1,1116720,PAChoice,N,Caro,PAF,ChoiceF,PAChoice,0.999498531,0.000501469
99,PA Choice M #1 99 caro,PA,Choice,PA Choice M #1 99 caro,M,N,614400,4160,PA Choice M #1 99 caro,carorep1,618560,PAChoice,N,Caro,PAM,ChoiceM,PAChoice,0.993274703,0.006725297
101,PA Choice F #2 101 caro,PA,Choice,PA Choice F #2 101 caro,F,N,419840,720,PA Choice F #2 101 caro,carorep1,420560,PAChoice,N,Caro,PAF,ChoiceF,PAChoice,0.998287997,0.001712003
103,PA Choice M #2 103 caro,PA,Choice,PA Choice M #2 103 caro,M,N,542720,440,PA Choice M #2 103 caro,carorep1,543160,PAChoice,N,Caro,PAM,ChoiceM,PAChoice,0.999189926,0.000810074
105,PA Choice F #3 105 caro,PA,Choice,PA Choice F #3 105 caro,F,N,3850240,200,PA Choice F #3 105 caro,carorep1,3850440,PAChoice,N,Caro,PAF,ChoiceF,PAChoice,0.999948058,5.19E-05
107,PA Choice M #3 107 caro,PA,Choice,PA Choice M #3 107 caro,M,N,317440,920,PA Choice M #3 107 caro,carorep1,318360,PAChoice,N,Caro,PAM,ChoiceM,PAChoice,0.99711019,0.00288981
109,PA Control F #1 109 caro,PA,Control,PA Control F #1 109 caro,F,N,1884160,140,PA Control F #1 109 caro,carorep1,1884300,PAControl,N,Caro,PAF,ControlF,PAControl,0.999925702,7.43E-05
111,PA Control M #1 111 caro,PA,Control,PA Control M #1 111 caro,M,N,512000,260,PA Control M #1 111 caro,carorep1,512260,PAControl,N,Caro,PAM,ControlM,PAControl,0.999492445,0.000507555
113,PA Control F #2 113 caro,PA,Control,PA Control F #2 113 caro,F,N,870400,240,PA Control F #2 113 caro,carorep1,870640,PAControl,N,Caro,PAF,ControlF,PAControl,0.999724341,0.000275659
115,PA Control M #2 115 caro,PA,Control,PA Control M #2 115 caro,M,N,696320,280,PA Control M #2 115 caro,carorep1,696600,PAControl,N,Caro,PAM,ControlM,PAControl,0.999598048,0.000401952
117,PA Control F #3 117 caro,PA,Control,PA Control F #3 117 caro,F,N,798720,200,PA Control F #3 117 caro,carorep1,798920,PAControl,N,Caro,PAF,ControlF,PAControl,0.999749662,0.000250338
119,PA Control M #3 119 caro,PA,Control,PA Control M #3 119 caro,M,N,747520,0,PA Control M #3 119 caro,carorep1,747520,PAControl,N,Caro,PAM,ControlM,PAControl,1,0
121,B Choice F #1 121 caro,B,Choice,B Choice F #1 121 caro,F,N,706560,4480,B Choice F #1 121 caro,carorep2,711040,BChoice,N,Caro,BF,ChoiceF,BChoice,0.99369937,0.00630063
123,B Choice M #1 123 caro,B,Choice,B Choice M #1 123 caro,M,N,808960,160,B Choice M #1 123 caro,carorep2,809120,BChoice,N,Caro,BM,ChoiceM,BChoice,0.999802254,0.000197746
125,B Choice F #2 125 caro,B,Choice,B Choice F #2 125 caro,F,N,972800,500,B Choice F #2 125 caro,carorep2,973300,BChoice,N,Caro,BF,ChoiceF,BChoice,0.999486284,0.000513716
127,B Choice M #2 127 caro,B,Choice,B Choice M #2 127 caro,M,N,430080,600,B Choice M #2 127 caro,carorep2,430680,BChoice,N,Caro,BM,ChoiceM,BChoice,0.998606854,0.001393146
133,B Control F #1 133 caro,B,Control,B Control F #1 133 caro,F,N,399360,4640,B Control F #1 133 caro,carorep2,404000,BControl,N,Caro,BF,ControlF,BControl,0.988514851,0.011485149
135,B Control M #1 135 caro,B,Control,B Control M #1 135 caro,M,N,266240,1180,B Control M #1 135 caro,carorep2,267420,BControl,N,Caro,BM,ControlM,BControl,0.995587465,0.004412535
137,B Control F #2 137 caro,B,Control,B Control F #2 137 caro,F,N,1699840,40,B Control F #2 137 caro,carorep2,1699880,BControl,N,Caro,BF,ControlF,BControl,0.999976469,2.35E-05
139,B Control M #2 139 caro,B,Control,B Control M #2 139 caro,M,N,471040,40,B Control M #2 139 caro,carorep2,471080,BControl,N,Caro,BM,ControlM,BControl,0.999915089,8.49E-05
141,B Control F #3 141 caro,B,Control,B Control F #3 141 caro,F,N,2263040,240,B Control F #3 141 caro,carorep2,2263280,BControl,N,Caro,BF,ControlF,BControl,0.999893959,0.000106041
143,B Control M #3 143 caro,B,Control,B Control M #3 143 caro,M,N,358400,320,B Control M #3 143 caro,carorep2,358720,BControl,N,Caro,BM,ControlM,BControl,0.999107939,0.000892061
145,L Choice F #1 145 caro,L,Choice,L Choice F #1 145 caro,F,N,727040,60,L Choice F #1 145 caro,carorep2,727100,LChoice,N,Caro,LF,ChoiceF,LChoice,0.99991748,8.25E-05
147,L Choice M #1 147 caro,L,Choice,L Choice M #1 147 caro,M,N,81920,140,L Choice M #1 147 caro,carorep2,82060,LChoice,N,Caro,LM,ChoiceM,LChoice,0.998293931,0.001706069
149,L Choice F #2 149 caro,L,Choice,L Choice F #2 149 caro,F,N,128000,200,L Choice F #2 149 caro,carorep2,128200,LChoice,N,Caro,LF,ChoiceF,LChoice,0.998439938,0.001560062
151,L Choice M #2 151 caro,L,Choice,L Choice M #2 151 caro,M,N,103680,3680,L Choice M #2 151 caro,carorep2,107360,LChoice,N,Caro,LM,ChoiceM,LChoice,0.965722802,0.034277198
157,L Control F #1 157 caro,L,Control,L Control F #1 157 caro,F,N,870400,20,L Control F #1 157 caro,carorep2,870420,LControl,N,Caro,LF,ControlF,LControl,0.999977023,2.30E-05
159,L Control M #1 159 caro,L,Control,L Control M #1 159 caro,M,N,140800,0,L Control M #1 159 caro,carorep2,140800,LControl,N,Caro,LM,ControlM,LControl,1,0
161,L Control F #2 161 caro,L,Control,L Control F #2 161 caro,F,N,768000,120,L Control F #2 161 caro,carorep2,768120,LControl,N,Caro,LF,ControlF,LControl,0.999843774,0.000156226
163,L Control M #2 163 caro,L,Control,L Control M #2 163 caro,M,N,942080,0,L Control M #2 163 caro,carorep2,942080,LControl,N,Caro,LM,ControlM,LControl,1,0
165,L Control F #3 165 caro,L,Control,L Control F #3 165 caro,F,N,921600,120,L Control F #3 165 caro,carorep2,921720,LControl,N,Caro,LF,ControlF,LControl,0.999869809,0.000130191
167,L Control M #3 167 caro,L,Control,L Control M #3 167 caro,M,N,111360,180,L Control M #3 167 caro,carorep2,111540,LControl,N,Caro,LM,ControlM,LControl,0.998386229,0.001613771
169,D Choice F #1 169 caro,D,Choice,D Choice F #1 169 caro,F,N,175360,1800,D Choice F #1 169 caro,carorep2,177160,DChoice,N,Caro,DF,ChoiceF,DChoice,0.989839693,0.010160307
171,D Choice M #1 171 caro,D,Choice,D Choice M #1 171 caro,M,N,80640,280,D Choice M #1 171 caro,carorep2,80920,DChoice,N,Caro,DM,ChoiceM,DChoice,0.996539792,0.003460208
173,D Choice F #2 173 caro,D,Choice,D Choice F #2 173 caro,F,N,522240,0,D Choice F #2 173 caro,carorep2,522240,DChoice,N,Caro,DF,ChoiceF,DChoice,1,0
175,D Choice M #2 175 caro,D,Choice,D Choice M #2 175 caro,M,N,139520,20,D Choice M #2 175 caro,carorep2,139540,DChoice,N,Caro,DM,ChoiceM,DChoice,0.999856672,0.000143328
181,D Control F #1 181 caro,D,Control,D Control F #1 181 caro,F,N,880640,20,D Control F #1 181 caro,carorep2,880660,DControl,N,Caro,DF,ControlF,DControl,0.99997729,2.27E-05
183,D Control M #1 183 caro,D,Control,D Control M #1 183 caro,M,N,87040,0,D Control M #1 183 caro,carorep2,87040,DControl,N,Caro,DM,ControlM,DControl,1,0
185,D Control F #2 185 caro,D,Control,D Control F #2 185 caro,F,N,358400,0,D Control F #2 185 caro,carorep2,358400,DControl,N,Caro,DF,ControlF,DControl,1,0
187,D Control M #2 187 caro,D,Control,D Control M #2 187 caro,M,N,450560,0,D Control M #2 187 caro,carorep2,450560,DControl,N,Caro,DM,ControlM,DControl,1,0
189,D Control F #3 189 caro,D,Control,D Control F #3 189 caro,F,N,2488320,160,D Control F #3 189 caro,carorep2,2488480,DControl,N,Caro,DF,ControlF,DControl,0.999935704,6.43E-05
191,D Control M #3 191 caro,D,Control,D Control M #3 191 caro,M,N,296960,60,D Control M #3 191 caro,carorep2,297020,DControl,N,Caro,DM,ControlM,DControl,0.999797993,0.000202007
193,VA Choice F #1 193 caro,VA,Choice,VA Choice F #1 193 caro,F,N,1495040,40,VA Choice F #1 193 caro,carorep2,1495080,VAChoice,N,Caro,VAF,ChoiceF,VAChoice,0.999973246,2.68E-05
195,VA Choice M #1 195 caro,VA,Choice,VA Choice M #1 195 caro,M,N,409600,1880,VA Choice M #1 195 caro,carorep2,411480,VAChoice,N,Caro,VAM,ChoiceM,VAChoice,0.995431127,0.004568873
197,VA Choice F #2 197 caro,VA,Choice,VA Choice F #2 197 caro,F,N,2744320,1300,VA Choice F #2 197 caro,carorep2,2745620,VAChoice,N,Caro,VAF,ChoiceF,VAChoice,0.999526519,0.000473481
199,VA Choice M #2 199 caro,VA,Choice,VA Choice M #2 199 caro,M,N,368640,20480,VA Choice M #2 199 caro,carorep2,389120,VAChoice,N,Caro,VAM,ChoiceM,VAChoice,0.947368421,0.052631579
205,VA Control F #1 205 caro,VA,Control,VA Control F #1 205 caro,F,N,645120,10080,VA Control F #1 205 caro,carorep2,655200,VAControl,N,Caro,VAF,ControlF,VAControl,0.984615385,0.015384615
207,VA Control M #1 207 caro,VA,Control,VA Control M #1 207 caro,M,N,399360,38400,VA Control M #1 207 caro,carorep2,437760,VAControl,N,Caro,VAM,ControlM,VAControl,0.912280702,0.087719298
209,VA Control F #2 209 caro,VA,Control,VA Control F #2 209 caro,F,N,860160,580,VA Control F #2 209 caro,carorep2,860740,VAControl,N,Caro,VAF,ControlF,VAControl,0.999326161,0.000673839
211,VA Control M #2 211 caro,VA,Control,VA Control M #2 211 caro,M,N,890880,180,VA Control M #2 211 caro,carorep2,891060,VAControl,N,Caro,VAM,ControlM,VAControl,0.999797993,0.000202007
217,PA Choice F #1 217 caro,PA,Choice,PA Choice F #1 217 caro,F,N,1587200,1300,PA Choice F #1 217 caro,carorep2,1588500,PAChoice,N,Caro,PAF,ChoiceF,PAChoice,0.999181618,0.000818382
219,PA Choice M #1 219 caro,PA,Choice,PA Choice M #1 219 caro,M,N,117760,20,PA Choice M #1 219 caro,carorep2,117780,PAChoice,N,Caro,PAM,ChoiceM,PAChoice,0.999830192,0.000169808
221,PA Choice F #2 221 caro,PA,Choice,PA Choice F #2 221 caro,F,N,1771520,100,PA Choice F #2 221 caro,carorep2,1771620,PAChoice,N,Caro,PAF,ChoiceF,PAChoice,0.999943554,5.64E-05
223,PA Choice M #2 223 caro,PA,Choice,PA Choice M #2 223 caro,M,N,450560,80,PA Choice M #2 223 caro,carorep2,450640,PAChoice,N,Caro,PAM,ChoiceM,PAChoice,0.999822475,0.000177525
229,PA Control F #1 229 caro,PA,Control,PA Control F #1 229 caro,F,N,3276800,200,PA Control F #1 229 caro,carorep2,3277000,PAControl,N,Caro,PAF,ControlF,PAControl,0.999938969,6.10E-05
231,PA Control M #1 231 caro,PA,Control,PA Control M #1 231 caro,M,N,389120,760,PA Control M #1 231 caro,carorep2,389880,PAControl,N,Caro,PAM,ControlM,PAControl,0.998050682,0.001949318
233,PA Control F #2 233 caro,PA,Control,PA Control F #2 233 caro,F,N,952320,100,PA Control F #2 233 caro,carorep2,952420,PAControl,N,Caro,PAF,ControlF,PAControl,0.999895004,0.000104996
235,PA Control M #2 235 caro,PA,Control,PA Control M #2 235 caro,M,N,655360,800,PA Control M #2 235 caro,carorep2,656160,PAControl,N,Caro,PAM,ControlM,PAControl,0.998780785,0.001219215
241,B Choice F #1 241 caro,B,Choice,B Choice F #1 241 caro,F,N,1146880,1400,B Choice F #1 241 caro,carorep3,1148280,BChoice,N,Caro,BF,ChoiceF,BChoice,0.998780785,0.001219215
243,B Choice M #1 243 caro,B,Choice,B Choice M #1 243 caro,M,N,706560,58880,B Choice M #1 243 caro,carorep3,765440,BChoice,N,Caro,BM,ChoiceM,BChoice,0.923076923,0.076923077
245,B Choice F #2 245 caro,B,Choice,B Choice F #2 245 caro,F,N,419840,1000,B Choice F #2 245 caro,carorep3,420840,BChoice,N,Caro,BF,ChoiceF,BChoice,0.9976238,0.0023762
247,B Choice M #2 247 caro,B,Choice,B Choice M #2 247 caro,M,N,235520,160,B Choice M #2 247 caro,carorep3,235680,BChoice,N,Caro,BM,ChoiceM,BChoice,0.999321113,0.000678887
253,B Control F #1 253 caro,B,Control,B Control F #1 253 caro,F,N,2549760,111360,B Control F #1 253 caro,carorep3,2661120,BControl,N,Caro,BF,ControlF,BControl,0.958152958,0.041847042
255,B Control M #1 255 caro,B,Control,B Control M #1 255 caro,M,N,1177600,3040,B Control M #1 255 caro,carorep3,1180640,BControl,N,Caro,BM,ControlM,BControl,0.997425125,0.002574875
257,B Control F #2 257 caro,B,Control,B Control F #2 257 caro,F,N,1433600,40960,B Control F #2 257 caro,carorep3,1474560,BControl,N,Caro,BF,ControlF,BControl,0.972222222,0.027777778
259,B Control M #2 259 caro,B,Control,B Control M #2 259 caro,M,N,552960,600,B Control M #2 259 caro,carorep3,553560,BControl,N,Caro,BM,ControlM,BControl,0.998916107,0.001083893
261,B Control F #3 261 caro,B,Control,B Control F #3 261 caro,F,N,2007040,6720,B Control F #3 261 caro,carorep3,2013760,BControl,N,Caro,BF,ControlF,BControl,0.996662959,0.003337041
265,L Choice F #1 265 caro,L,Choice,L Choice F #1 265 caro,F,N,307200,380,L Choice F #1 265 caro,carorep3,307580,LChoice,N,Caro,LF,ChoiceF,LChoice,0.998764549,0.001235451
267,L Choice M #1 267 caro,L,Choice,L Choice M #1 267 caro,M,N,116480,500,L Choice M #1 267 caro,carorep3,116980,LChoice,N,Caro,LM,ChoiceM,LChoice,0.995725765,0.004274235
269,L Choice F #2 269 caro,L,Choice,L Choice F #2 269 caro,F,N,757760,820,L Choice F #2 269 caro,carorep3,758580,LChoice,N,Caro,LF,ChoiceF,LChoice,0.998919033,0.001080967
271,L Choice M #2 271 caro,L,Choice,L Choice M #2 271 caro,M,N,153600,2560,L Choice M #2 271 caro,carorep3,156160,LChoice,N,Caro,LM,ChoiceM,LChoice,0.983606557,0.016393443
273,L Choice F #3 273 caro,L,Choice,L Choice F #3 273 caro,F,N,256000,40,L Choice F #3 273 caro,carorep3,256040,LChoice,N,Caro,LF,ChoiceF,LChoice,0.999843774,0.000156226
275,L Choice M #3 275 caro,L,Choice,L Choice M #3 275 caro,M,N,93440,1560,L Choice M #3 275 caro,carorep3,95000,LChoice,N,Caro,LM,ChoiceM,LChoice,0.983578947,0.016421053
277,L Control F #1 277 caro,L,Control,L Control F #1 277 caro,F,N,2734080,100,L Control F #1 277 caro,carorep3,2734180,LControl,N,Caro,LF,ControlF,LControl,0.999963426,3.66E-05
279,L Control M #1 279 caro,L,Control,L Control M #1 279 caro,M,N,849920,680,L Control M #1 279 caro,carorep3,850600,LControl,N,Caro,LM,ControlM,LControl,0.999200564,0.000799436
281,L Control F #2 281 caro,L,Control,L Control F #2 281 caro,F,N,1566720,4480,L Control F #2 281 caro,carorep3,1571200,LControl,N,Caro,LF,ControlF,LControl,0.997148676,0.002851324
283,L Control M #2 283 caro,L,Control,L Control M #2 283 caro,M,N,180480,300,L Control M #2 283 caro,carorep3,180780,LControl,N,Caro,LM,ControlM,LControl,0.998340524,0.001659476
285,L Control F #3 285 caro,L,Control,L Control F #3 285 caro,F,N,1402880,20,L Control F #3 285 caro,carorep3,1402900,LControl,N,Caro,LF,ControlF,LControl,0.999985744,1.43E-05
287,L Control M #3 287 caro,L,Control,L Control M #3 287 caro,M,N,675840,20,L Control M #3 287 caro,carorep3,675860,LControl,N,Caro,LM,ControlM,LControl,0.999970408,2.96E-05
289,D Choice F #1 289 caro,D,Choice,D Choice F #1 289 caro,F,N,890880,160,D Choice F #1 289 caro,carorep3,891040,DChoice,N,Caro,DF,ChoiceF,DChoice,0.999820435,0.000179565
291,D Choice M #1 291 caro,D,Choice,D Choice M #1 291 caro,M,N,706560,180,D Choice M #1 291 caro,carorep3,706740,DChoice,N,Caro,DM,ChoiceM,DChoice,0.999745309,0.000254691
293,D Choice F #2 293 caro,D,Choice,D Choice F #2 293 caro,F,N,296960,0,D Choice F #2 293 caro,carorep3,296960,DChoice,N,Caro,DF,ChoiceF,DChoice,1,0
295,D Choice M #2 295 caro,D,Choice,D Choice M #2 295 caro,M,N,593920,520,D Choice M #2 295 caro,carorep3,594440,DChoice,N,Caro,DM,ChoiceM,DChoice,0.999125227,0.000874773
297,D Choice F #3 297 caro,D,Choice,D Choice F #3 297 caro,F,N,160000,120,D Choice F #3 297 caro,carorep3,160120,DChoice,N,Caro,DF,ChoiceF,DChoice,0.999250562,0.000749438
301,D Control F #1 301 caro,D,Control,D Control F #1 301 caro,F,N,696320,0,D Control F #1 301 caro,carorep3,696320,DControl,N,Caro,DF,ControlF,DControl,1,0
303,D Control M #1 303 caro,D,Control,D Control M #1 303 caro,M,N,186880,20,D Control M #1 303 caro,carorep3,186900,DControl,N,Caro,DM,ControlM,DControl,0.999892991,0.000107009
305,D Control F #2 305 caro,D,Control,D Control F #2 305 caro,F,N,522240,0,D Control F #2 305 caro,carorep3,522240,DControl,N,Caro,DF,ControlF,DControl,1,0
307,D Control M #2 307 caro,D,Control,D Control M #2 307 caro,M,N,399360,0,D Control M #2 307 caro,carorep3,399360,DControl,N,Caro,DM,ControlM,DControl,1,0
309,D Control F #3 309 caro,D,Control,D Control F #3 309 caro,F,N,2283520,620,D Control F #3 309 caro,carorep3,2284140,DControl,N,Caro,DF,ControlF,DControl,0.999728563,0.000271437
311,D Control M #3 311 caro,D,Control,D Control M #3 311 caro,M,N,189440,0,D Control M #3 311 caro,carorep3,189440,DControl,N,Caro,DM,ControlM,DControl,1,0
313,VA Choice F #1 313 caro,VA,Choice,VA Choice F #1 313 caro,F,N,3010560,79360,VA Choice F #1 313 caro,carorep3,3089920,VAChoice,N,Caro,VAF,ChoiceF,VAChoice,0.974316487,0.025683513
315,VA Choice M #1 315 caro,VA,Choice,VA Choice M #1 315 caro,M,N,337920,83200,VA Choice M #1 315 caro,carorep3,421120,VAChoice,N,Caro,VAM,ChoiceM,VAChoice,0.802431611,0.197568389
317,VA Choice F #2 317 caro,VA,Choice,VA Choice F #2 317 caro,F,N,3235840,44800,VA Choice F #2 317 caro,carorep3,3280640,VAChoice,N,Caro,VAF,ChoiceF,VAChoice,0.986344128,0.013655872
319,VA Choice M #2 319 caro,VA,Choice,VA Choice M #2 319 caro,M,N,348160,320,VA Choice M #2 319 caro,carorep3,348480,VAChoice,N,Caro,VAM,ChoiceM,VAChoice,0.999081726,0.000918274
321,VA Choice F #3 321 caro,VA,Choice,VA Choice F #3 321 caro,F,N,1600,500,VA Choice F #3 321 caro,carorep3,2100,VAChoice,N,Caro,VAF,ChoiceF,VAChoice,0.761904762,0.238095238
325,VA Control F #1 325 caro,VA,Control,VA Control F #1 325 caro,F,N,1320960,15360,VA Control F #1 325 caro,carorep3,1336320,VAControl,N,Caro,VAF,ControlF,VAControl,0.988505747,0.011494253
327,VA Control M #1 327 caro,VA,Control,VA Control M #1 327 caro,M,N,2611200,1400,VA Control M #1 327 caro,carorep3,2612600,VAControl,N,Caro,VAM,ControlM,VAControl,0.999464135,0.000535865
329,VA Control F #2 329 caro,VA,Control,VA Control F #2 329 caro,F,N,3112960,12800,VA Control F #2 329 caro,carorep3,3125760,VAControl,N,Caro,VAF,ControlF,VAControl,0.995904996,0.004095004
331,VA Control M #2 331 caro,VA,Control,VA Control M #2 331 caro,M,N,1085440,320,VA Control M #2 331 caro,carorep3,1085760,VAControl,N,Caro,VAM,ControlM,VAControl,0.999705276,0.000294724
333,VA Control F #3 333 caro,VA,Control,VA Control F #3 333 caro,F,N,3235840,17280,VA Control F #3 333 caro,carorep3,3253120,VAControl,N,Caro,VAF,ControlF,VAControl,0.994688176,0.005311824
337,PA Choice F #1 337 caro,PA,Choice,PA Choice F #1 337 caro,F,N,1740800,2520,PA Choice F #1 337 caro,carorep3,1743320,PAChoice,N,Caro,PAF,ChoiceF,PAChoice,0.998554482,0.001445518
339,PA Choice M #1 339 caro,PA,Choice,PA Choice M #1 339 caro,M,N,645120,1500,PA Choice M #1 339 caro,carorep3,646620,PAChoice,N,Caro,PAM,ChoiceM,PAChoice,0.997680245,0.002319755
341,PA Choice F #2 341 caro,PA,Choice,PA Choice F #2 341 caro,F,N,1638400,6400,PA Choice F #2 341 caro,carorep3,1644800,PAChoice,N,Caro,PAF,ChoiceF,PAChoice,0.996108949,0.003891051
343,PA Choice M #2 343 caro,PA,Choice,PA Choice M #2 343 caro,M,N,225280,4480,PA Choice M #2 343 caro,carorep3,229760,PAChoice,N,Caro,PAM,ChoiceM,PAChoice,0.980501393,0.019498607
347,PA Choice M #3 347 caro,PA,Choice,PA Choice M #3 347 caro,M,N,257280,1740,PA Choice M #3 347 caro,carorep3,259020,PAChoice,N,Caro,PAM,ChoiceM,PAChoice,0.993282372,0.006717628
349,PA Control F #1 349 caro,PA,Control,PA Control F #1 349 caro,F,N,1597440,0,PA Control F #1 349 caro,carorep3,1597440,PAControl,N,Caro,PAF,ControlF,PAControl,1,0
351,PA Control M #1 351 caro,PA,Control,PA Control M #1 351 caro,M,N,768000,0,PA Control M #1 351 caro,carorep3,768000,PAControl,N,Caro,PAM,ControlM,PAControl,1,0
353,PA Control F #2 353 caro,PA,Control,PA Control F #2 353 caro,F,N,1761280,60,PA Control F #2 353 caro,carorep3,1761340,PAControl,N,Caro,PAF,ControlF,PAControl,0.999965935,3.41E-05
355,PA Control M #2 355 caro,PA,Control,PA Control M #2 355 caro,M,N,1976320,1460,PA Control M #2 355 caro,carorep3,1977780,PAControl,N,Caro,PAM,ControlM,PAControl,0.999261799,0.000738201
357,PA Control F #3 357 caro,PA,Control,PA Control F #3 357 caro,F,N,2631680,480,PA Control F #3 357 caro,carorep3,2632160,PAControl,N,Caro,PAF,ControlF,PAControl,0.99981764,0.00018236
359,PA Control M #3 359 caro,PA,Control,PA Control M #3 359 caro,M,N,952320,0,PA Control M #3 359 caro,carorep3,952320,PAControl,N,Caro,PAM,ControlM,PAControl,1,0
