code,Sex,Treatment,Bacteria,type,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Side
NA CH 272 diet A L,NA,CH,Acetobacter,diet,A,1375,3125,4500,NACH,NACH,272,NA CH 272 diet A L,L
NA CH 274 diet A L,NA,CH,Acetobacter,diet,A,450,2800,3250,NACH,NACH,274,NA CH 274 diet A L,L
NA CH 276 diet A A,NA,CH,Acetobacter,diet,A,92220,875,93095,NACH,NACH,276,NA CH 276 diet A A,A
NA CH 281 diet A L,NA,CH,Acetobacter,diet,A,3180,4600,7780,NACH,NACH,281,NA CH 281 diet A L,L
NA CH 283 diet A L,NA,CH,Acetobacter,diet,A,3180,3000,6180,NACH,NACH,283,NA CH 283 diet A L,L
NA CH 285 diet A A,NA,CH,Acetobacter,diet,A,38160,575,38735,NACH,NACH,285,NA CH 285 diet A A,A
NA CH 287 diet A A,NA,CH,Acetobacter,diet,A,108120,425,108545,NACH,NACH,287,NA CH 287 diet A A,A
NA CH 289 diet A A,NA,CH,Acetobacter,diet,A,98580,275,98855,NACH,NACH,289,NA CH 289 diet A A,A
NA CH 291 diet A L,NA,CH,Acetobacter,diet,A,41340,4800,46140,NACH,NACH,291,NA CH 291 diet A L,L
NA CH 295 diet A A,NA,CH,Acetobacter,diet,A,47700,125,47825,NACH,NACH,295,NA CH 295 diet A A,A
NA CH 297 diet A A,NA,CH,Acetobacter,diet,A,50880,525,51405,NACH,NACH,297,NA CH 297 diet A A,A
NA CH 299 diet A A,NA,CH,Acetobacter,diet,A,6360,275,6635,NACH,NACH,299,NA CH 299 diet A A,A
NA CH 301 diet A L,NA,CH,Acetobacter,diet,A,1125,3400,4525,NACH,NACH,301,NA CH 301 diet A L,L
NA CH 303 diet A L,NA,CH,Acetobacter,diet,A,1075,2600,3675,NACH,NACH,303,NA CH 303 diet A L,L
NA CH 305 diet A L,NA,CH,Acetobacter,diet,A,950,3000,3950,NACH,NACH,305,NA CH 305 diet A L,L
NA CH 307 diet A A,NA,CH,Acetobacter,diet,A,69960,975,70935,NACH,NACH,307,NA CH 307 diet A A,A
NA CH 309 diet A A,NA,CH,Acetobacter,diet,A,15900,325,16225,NACH,NACH,309,NA CH 309 diet A A,A
NA CH 311 diet A A,NA,CH,Acetobacter,diet,A,54060,450,54510,NACH,NACH,311,NA CH 311 diet A A,A
NA CH 313 diet A L,NA,CH,Acetobacter,diet,A,1025,2750,3775,NACH,NACH,313,NA CH 313 diet A L,L
NA CH 315 diet A L,NA,CH,Acetobacter,diet,A,525,1500,2025,NACH,NACH,315,NA CH 315 diet A L,L
NA CH 317 diet A L,NA,CH,Acetobacter,diet,A,850,3800,4650,NACH,NACH,317,NA CH 317 diet A L,L
NA CH 319 diet A A,NA,CH,Acetobacter,diet,A,108120,400,108520,NACH,NACH,319,NA CH 319 diet A A,A
NA CH 321 diet A A,NA,CH,Acetobacter,diet,A,47700,450,48150,NACH,NACH,321,NA CH 321 diet A A,A
NA CH 323 diet A A,NA,CH,Acetobacter,diet,A,79500,550,80050,NACH,NACH,323,NA CH 323 diet A A,A
NA CH 325 diet A L,NA,CH,Acetobacter,diet,A,500,3000,3500,NACH,NACH,325,NA CH 325 diet A L,L
NA CH 327 diet A L,NA,CH,Acetobacter,diet,A,600,1775,2375,NACH,NACH,327,NA CH 327 diet A L,L
NA CH 329 diet A L,NA,CH,Acetobacter,diet,A,550,1400,1950,NACH,NACH,329,NA CH 329 diet A L,L
NA CH 331 diet A A,NA,CH,Acetobacter,diet,A,76320,125,76445,NACH,NACH,331,NA CH 331 diet A A,A
NA CH 333 diet A A,NA,CH,Acetobacter,diet,A,38160,400,38560,NACH,NACH,333,NA CH 333 diet A A,A
NA CH 335 diet A A,NA,CH,Acetobacter,diet,A,19080,425,19505,NACH,NACH,335,NA CH 335 diet A A,A
NA CH 337 diet A L,NA,CH,Acetobacter,diet,A,850,2225,3075,NACH,NACH,337,NA CH 337 diet A L,L
NA CH 339 diet A L,NA,CH,Acetobacter,diet,A,1000,3500,4500,NACH,NACH,339,NA CH 339 diet A L,L
NA CH 342 diet A A,NA,CH,Acetobacter,diet,A,38160,300,38460,NACH,NACH,342,NA CH 342 diet A A,A
NA CH 344 diet A A,NA,CH,Acetobacter,diet,A,19080,475,19555,NACH,NACH,344,NA CH 344 diet A A,A
NA CH 346 diet A A,NA,CH,Acetobacter,diet,A,25440,475,25915,NACH,NACH,346,NA CH 346 diet A A,A
NA CH 348 diet A L,NA,CH,Acetobacter,diet,A,675,3600,4275,NACH,NACH,348,NA CH 348 diet A L,L
NA CH 350 diet A L,NA,CH,Acetobacter,diet,A,700,2300,3000,NACH,NACH,350,NA CH 350 diet A L,L
NA CH 352 diet A L,NA,CH,Acetobacter,diet,A,800,3000,3800,NACH,NACH,352,NA CH 352 diet A L,L
NA CH 354 diet A A,NA,CH,Acetobacter,diet,A,38160,700,38860,NACH,NACH,354,NA CH 354 diet A A,A
NA CH 356 diet A A,NA,CH,Acetobacter,diet,A,60420,625,61045,NACH,NACH,356,NA CH 356 diet A A,A
NA CH 358 diet A A,NA,CH,Acetobacter,diet,A,38160,325,38485,NACH,NACH,358,NA CH 358 diet A A,A
NA CH 360 diet A L,NA,CH,Acetobacter,diet,A,550,1900,2450,NACH,NACH,360,NA CH 360 diet A L,L
NA CH 362 diet A L,NA,CH,Acetobacter,diet,A,700,2000,2700,NACH,NACH,362,NA CH 362 diet A L,L
NA CH 364 diet A L,NA,CH,Acetobacter,diet,A,650,1600,2250,NACH,NACH,364,NA CH 364 diet A L,L
NA CH 366 diet A A,NA,CH,Acetobacter,diet,A,69960,350,70310,NACH,NACH,366,NA CH 366 diet A A,A
NA CH 368 diet A A,NA,CH,Acetobacter,diet,A,47700,750,48450,NACH,NACH,368,NA CH 368 diet A A,A
NA CH 370 diet A A,NA,CH,Acetobacter,diet,A,650,775,1425,NACH,NACH,370,NA CH 370 diet A A,A
NA CH 372 diet A L,NA,CH,Acetobacter,diet,A,550,2600,3150,NACH,NACH,372,NA CH 372 diet A L,L
NA CH 374 diet A L,NA,CH,Acetobacter,diet,A,625,2700,3325,NACH,NACH,374,NA CH 374 diet A L,L
NA CH 376 diet A L,NA,CH,Acetobacter,diet,A,975,4100,5075,NACH,NACH,376,NA CH 376 diet A L,L
