,code,Sex,Treatment,Bacteria,type,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Side
124,NA CH 270 diet A A,NA,CH,Acetobacter,diet,A,3052800,25,3052825,NACH,NACH,270,NA CH 270 diet A A,A
125,NA CH 272 diet A A,NA,CH,Acetobacter,diet,A,5088000,50,5088050,NACH,NACH,272,NA CH 272 diet A A,A
126,NA CH 274 diet A L,NA,CH,Acetobacter,diet,A,5698560,575,5699135,NACH,NACH,274,NA CH 274 diet A L,L
127,NA CH 276 diet A L,NA,CH,Acetobacter,diet,A,4884480,450,4884930,NACH,NACH,276,NA CH 276 diet A L,L
128,NA CH 278 diet A L,NA,CH,Acetobacter,diet,A,3663360,525,3663885,NACH,NACH,278,NA CH 278 diet A L,L
129,NA CH 286 diet A L,NA,CH,Acetobacter,diet,A,12720,25,12745,NACH,NACH,286,NA CH 286 diet A L,L
130,NA CH 294 diet A L,NA,CH,Acetobacter,diet,A,15900,50,15950,NACH,NACH,294,NA CH 294 diet A L,L
131,NA CH 296 diet A L,NA,CH,Acetobacter,diet,A,25440,50,25490,NACH,NACH,296,NA CH 296 diet A L,L
132,NA CH 298 diet A L,NA,CH,Acetobacter,diet,A,200,175,375,NACH,NACH,298,NA CH 298 diet A L,L
133,NA CH 300 diet A A,NA,CH,Acetobacter,diet,A,63600,50,63650,NACH,NACH,300,NA CH 300 diet A A,A
134,NA CH 304 diet A L,NA,CH,Acetobacter,diet,A,66780,400,67180,NACH,NACH,304,NA CH 304 diet A L,L
135,NA CH 306 diet A L,NA,CH,Acetobacter,diet,A,38160,125,38285,NACH,NACH,306,NA CH 306 diet A L,L
136,NA CH 308 diet A L,NA,CH,Acetobacter,diet,A,57240,300,57540,NACH,NACH,308,NA CH 308 diet A L,L
137,NA CH 316 diet A L,NA,CH,Acetobacter,diet,A,75,175,250,NACH,NACH,316,NA CH 316 diet A L,L
138,NA CH 321 diet A A,NA,CH,Acetobacter,diet,A,63600,25,63625,NACH,NACH,321,NA CH 321 diet A A,A
139,NA CH 327 diet A L,NA,CH,Acetobacter,diet,A,15900,175,16075,NACH,NACH,327,NA CH 327 diet A L,L
