vial,treatment,sex,replicate,exp,vialnum,variable,event,experiment,vial_rep
CH F 1_10,CH,F,1_10,1,10,1.8,1,expA,CH_1_10
CH F 1_10,CH,F,1_10,1,10,1.8,1,expA,CH_1_10
CH M 1_1,CH,M,1_1,1,1,1.8,1,expA,CH_1_1
CH M 1_2,CH,M,1_2,1,2,1.8,1,expA,CH_1_2
CH M 1_2,CH,M,1_2,1,2,1.8,1,expA,CH_1_2
CH M 1_8,CH,M,1_8,1,8,1.8,1,expA,CH_1_8
CON F 1_1,CON,F,1_1,1,1,1.8,1,expA,CON_1_1
CON F 1_3,CON,F,1_3,1,3,1.8,1,expA,CON_1_3
CON F 1_4,CON,F,1_4,1,4,1.8,1,expA,CON_1_4
CON F 1_4,CON,F,1_4,1,4,1.8,1,expA,CON_1_4
CON F 1_5,CON,F,1_5,1,5,1.8,1,expA,CON_1_5
CON F 1_6,CON,F,1_6,1,6,1.8,1,expA,CON_1_6
CON F 1_7,CON,F,1_7,1,7,1.8,1,expA,CON_1_7
CON F 1_9,CON,F,1_9,1,9,1.8,1,expA,CON_1_9
CH F 1_1,CH,F,1_1,1,1,2,1,expA,CH_1_1
CH F 1_8,CH,F,1_8,1,8,2.2,1,expA,CH_1_8
CH F 1_8,CH,F,1_8,1,8,2.5,1,expA,CH_1_8
CH F 2_7,CH,F,2_7,2,7,0.5,1,expB,CH_2_7
CH M 2_3,CH,M,2_3,2,3,0.5,1,expB,CH_2_3
CH M 2_8,CH,M,2_8,2,8,0.5,1,expB,CH_2_8
CON F 2_8,CON,F,2_8,2,8,0.5,1,expB,CON_2_8
CON F 2_9,CON,F,2_9,2,9,0.5,1,expB,CON_2_9
CON M 2_1,CON,M,2_1,2,1,0.5,1,expB,CON_2_1
CON M 2_3,CON,M,2_3,2,3,0.5,1,expB,CON_2_3
CON M 2_6,CON,M,2_6,2,6,0.5,1,expB,CON_2_6
CON M 2_7,CON,M,2_7,2,7,0.5,1,expB,CON_2_7
CON M 2_8,CON,M,2_8,2,8,0.5,1,expB,CON_2_8
CH F 2_4,CH,F,2_4,2,4,0.8,1,expB,CH_2_4
CH F 2_8,CH,F,2_8,2,8,0.8,1,expB,CH_2_8
CH M 2_1,CH,M,2_1,2,1,0.8,1,expB,CH_2_1
CH M 2_1,CH,M,2_1,2,1,0.8,1,expB,CH_2_1
CH M 2_1,CH,M,2_1,2,1,0.8,1,expB,CH_2_1
CH M 2_1,CH,M,2_1,2,1,0.8,1,expB,CH_2_1
CH M 2_1,CH,M,2_1,2,1,0.8,1,expB,CH_2_1
CH M 2_1,CH,M,2_1,2,1,0.8,1,expB,CH_2_1
CH M 2_2,CH,M,2_2,2,2,0.8,1,expB,CH_2_2
