egg_count,Day,geography,treatment,Replicate,plate side,experiment,Expt,SortOrder,code,vialnum,repexp,tg
242,2,Maine,Choice,#2,Acetobacter,C,Expt2,241,2 Maine Choice #2 C Expt2,2 Maine Choice #2 C Expt2,2 Maine Choice #2 C Expt2,Choice.Maine
167,2,Maine,Choice,#2,Lactobacillus,C,Expt2,242,2 Maine Choice #2 C Expt2,2 Maine Choice #2 C Expt2,2 Maine Choice #2 C Expt2,Choice.Maine
37,2,Maine,Control,#1,Acetobacter,A,Expt2,243,2 Maine Control #1 A Expt2,2 Maine Control #1 A Expt2,2 Maine Control #1 A Expt2,Control.Maine
74,2,Maine,Control,#1,Lactobacillus,A,Expt2,244,2 Maine Control #1 A Expt2,2 Maine Control #1 A Expt2,2 Maine Control #1 A Expt2,Control.Maine
204,2,Maine,Control,#2,Acetobacter,A,Expt2,245,2 Maine Control #2 A Expt2,2 Maine Control #2 A Expt2,2 Maine Control #2 A Expt2,Control.Maine
140,2,Maine,Control,#2,Lactobacillus,A,Expt2,246,2 Maine Control #2 A Expt2,2 Maine Control #2 A Expt2,2 Maine Control #2 A Expt2,Control.Maine
77,2,Maine,Control,#1,Acetobacter,B,Expt2,247,2 Maine Control #1 B Expt2,2 Maine Control #1 B Expt2,2 Maine Control #1 B Expt2,Control.Maine
71,2,Maine,Control,#1,Lactobacillus,B,Expt2,248,2 Maine Control #1 B Expt2,2 Maine Control #1 B Expt2,2 Maine Control #1 B Expt2,Control.Maine
132,2,Maine,Control,#2,Acetobacter,B,Expt2,249,2 Maine Control #2 B Expt2,2 Maine Control #2 B Expt2,2 Maine Control #2 B Expt2,Control.Maine
96,2,Maine,Control,#2,Lactobacillus,B,Expt2,250,2 Maine Control #2 B Expt2,2 Maine Control #2 B Expt2,2 Maine Control #2 B Expt2,Control.Maine
178,2,Maine,Control,#3,Acetobacter,B,Expt2,251,2 Maine Control #3 B Expt2,2 Maine Control #3 B Expt2,2 Maine Control #3 B Expt2,Control.Maine
161,2,Maine,Control,#3,Lactobacillus,B,Expt2,252,2 Maine Control #3 B Expt2,2 Maine Control #3 B Expt2,2 Maine Control #3 B Expt2,Control.Maine
174,2,Maine,Control,#1,Acetobacter,C,Expt2,253,2 Maine Control #1 C Expt2,2 Maine Control #1 C Expt2,2 Maine Control #1 C Expt2,Control.Maine
76,2,Maine,Control,#1,Lactobacillus,C,Expt2,254,2 Maine Control #1 C Expt2,2 Maine Control #1 C Expt2,2 Maine Control #1 C Expt2,Control.Maine
167,2,Maine,Control,#2,Acetobacter,C,Expt2,255,2 Maine Control #2 C Expt2,2 Maine Control #2 C Expt2,2 Maine Control #2 C Expt2,Control.Maine
172,2,Maine,Control,#2,Lactobacillus,C,Expt2,256,2 Maine Control #2 C Expt2,2 Maine Control #2 C Expt2,2 Maine Control #2 C Expt2,Control.Maine
107,2,Florida,Choice,#1,Acetobacter,A,Expt2,257,2 Florida Choice #1 A Expt2,2 Florida Choice #1 A Expt2,2 Florida Choice #1 A Expt2,Choice.Florida
12,2,Florida,Choice,#1,Lactobacillus,A,Expt2,258,2 Florida Choice #1 A Expt2,2 Florida Choice #1 A Expt2,2 Florida Choice #1 A Expt2,Choice.Florida
427,2,Florida,Choice,#2,Acetobacter,A,Expt2,259,2 Florida Choice #2 A Expt2,2 Florida Choice #2 A Expt2,2 Florida Choice #2 A Expt2,Choice.Florida
11,2,Florida,Choice,#2,Lactobacillus,A,Expt2,260,2 Florida Choice #2 A Expt2,2 Florida Choice #2 A Expt2,2 Florida Choice #2 A Expt2,Choice.Florida
232,2,Florida,Choice,#1,Acetobacter,B,Expt2,261,2 Florida Choice #1 B Expt2,2 Florida Choice #1 B Expt2,2 Florida Choice #1 B Expt2,Choice.Florida
75,2,Florida,Choice,#1,Lactobacillus,B,Expt2,262,2 Florida Choice #1 B Expt2,2 Florida Choice #1 B Expt2,2 Florida Choice #1 B Expt2,Choice.Florida
144,2,Florida,Choice,#2,Acetobacter,B,Expt2,263,2 Florida Choice #2 B Expt2,2 Florida Choice #2 B Expt2,2 Florida Choice #2 B Expt2,Choice.Florida
83,2,Florida,Choice,#2,Lactobacillus,B,Expt2,264,2 Florida Choice #2 B Expt2,2 Florida Choice #2 B Expt2,2 Florida Choice #2 B Expt2,Choice.Florida
138,2,Florida,Choice,#3,Acetobacter,B,Expt2,265,2 Florida Choice #3 B Expt2,2 Florida Choice #3 B Expt2,2 Florida Choice #3 B Expt2,Choice.Florida
46,2,Florida,Choice,#3,Lactobacillus,B,Expt2,266,2 Florida Choice #3 B Expt2,2 Florida Choice #3 B Expt2,2 Florida Choice #3 B Expt2,Choice.Florida
152,2,Florida,Choice,#1,Acetobacter,C,Expt2,267,2 Florida Choice #1 C Expt2,2 Florida Choice #1 C Expt2,2 Florida Choice #1 C Expt2,Choice.Florida
70,2,Florida,Choice,#1,Lactobacillus,C,Expt2,268,2 Florida Choice #1 C Expt2,2 Florida Choice #1 C Expt2,2 Florida Choice #1 C Expt2,Choice.Florida
154,2,Florida,Choice,#2,Acetobacter,C,Expt2,269,2 Florida Choice #2 C Expt2,2 Florida Choice #2 C Expt2,2 Florida Choice #2 C Expt2,Choice.Florida
64,2,Florida,Choice,#2,Lactobacillus,C,Expt2,270,2 Florida Choice #2 C Expt2,2 Florida Choice #2 C Expt2,2 Florida Choice #2 C Expt2,Choice.Florida
49,2,Florida,Control,#1,Acetobacter,A,Expt2,271,2 Florida Control #1 A Expt2,2 Florida Control #1 A Expt2,2 Florida Control #1 A Expt2,Control.Florida
55,2,Florida,Control,#1,Lactobacillus,A,Expt2,272,2 Florida Control #1 A Expt2,2 Florida Control #1 A Expt2,2 Florida Control #1 A Expt2,Control.Florida
176,2,Florida,Control,#2,Acetobacter,A,Expt2,273,2 Florida Control #2 A Expt2,2 Florida Control #2 A Expt2,2 Florida Control #2 A Expt2,Control.Florida
201,2,Florida,Control,#2,Lactobacillus,A,Expt2,274,2 Florida Control #2 A Expt2,2 Florida Control #2 A Expt2,2 Florida Control #2 A Expt2,Control.Florida
121,2,Florida,Control,#1,Acetobacter,B,Expt2,275,2 Florida Control #1 B Expt2,2 Florida Control #1 B Expt2,2 Florida Control #1 B Expt2,Control.Florida
193,2,Florida,Control,#1,Lactobacillus,B,Expt2,276,2 Florida Control #1 B Expt2,2 Florida Control #1 B Expt2,2 Florida Control #1 B Expt2,Control.Florida
110,2,Florida,Control,#2,Acetobacter,B,Expt2,277,2 Florida Control #2 B Expt2,2 Florida Control #2 B Expt2,2 Florida Control #2 B Expt2,Control.Florida
244,2,Florida,Control,#2,Lactobacillus,B,Expt2,278,2 Florida Control #2 B Expt2,2 Florida Control #2 B Expt2,2 Florida Control #2 B Expt2,Control.Florida
134,2,Florida,Control,#3,Acetobacter,B,Expt2,279,2 Florida Control #3 B Expt2,2 Florida Control #3 B Expt2,2 Florida Control #3 B Expt2,Control.Florida
198,2,Florida,Control,#3,Lactobacillus,B,Expt2,280,2 Florida Control #3 B Expt2,2 Florida Control #3 B Expt2,2 Florida Control #3 B Expt2,Control.Florida
114,2,Florida,Control,#1,Acetobacter,C,Expt2,281,2 Florida Control #1 C Expt2,2 Florida Control #1 C Expt2,2 Florida Control #1 C Expt2,Control.Florida
107,2,Florida,Control,#1,Lactobacillus,C,Expt2,282,2 Florida Control #1 C Expt2,2 Florida Control #1 C Expt2,2 Florida Control #1 C Expt2,Control.Florida
120,2,Florida,Control,#2,Acetobacter,C,Expt2,283,2 Florida Control #2 C Expt2,2 Florida Control #2 C Expt2,2 Florida Control #2 C Expt2,Control.Florida
75,2,Florida,Control,#2,Lactobacillus,C,Expt2,284,2 Florida Control #2 C Expt2,2 Florida Control #2 C Expt2,2 Florida Control #2 C Expt2,Control.Florida
348,2,Pennsylvania,Choice,#1,Acetobacter,A,Expt2,285,2 Pennsylvania Choice #1 A Expt2,2 Pennsylvania Choice #1 A Expt2,2 Pennsylvania Choice #1 A Expt2,Choice.Pennsylvania
13,2,Pennsylvania,Choice,#1,Lactobacillus,A,Expt2,286,2 Pennsylvania Choice #1 A Expt2,2 Pennsylvania Choice #1 A Expt2,2 Pennsylvania Choice #1 A Expt2,Choice.Pennsylvania
358,2,Pennsylvania,Choice,#2,Acetobacter,A,Expt2,287,2 Pennsylvania Choice #2 A Expt2,2 Pennsylvania Choice #2 A Expt2,2 Pennsylvania Choice #2 A Expt2,Choice.Pennsylvania
