Position,code,Geography,Humidity,vialnum,Sex,PLATE,cfuA,cfuL,starved,exp,repexp,latitude,percL
G7,H-C-2-F,H,C,2,F,plate2,4800,8000,N,A,H-C-2-FA,5,0.625
G8,PA-B-1-F,PA,B,1,F,plate2,12800,115200,N,A,PA-B-1-FA,3,0.9
G9,PA-B-3-F,PA,B,3,F,plate2,9600,9600,N,A,PA-B-3-FA,3,0.5
G10,M-A-3-F,M,A,3,F,plate2,1600,1400,N,A,M-A-3-FA,2,0.466666667
H1,B-A-2-F,B,A,2,F,plate2,8000,6400,N,A,B-A-2-FA,7,0.444444444
H2,B-C-1-F,B,C,1,F,plate2,22400,28800,N,A,B-C-1-FA,7,0.5625
H3,B-C-3-F,B,C,3,F,plate2,600,1200,N,A,B-C-3-FA,7,0.666666667
H4,V-C-2-F,V,C,2,F,plate2,64000,102400,N,A,V-C-2-FA,1,0.615384615
H5,L-A-1-F,L,A,1,F,plate2,204800,153600,N,A,L-A-1-FA,4,0.428571429
H6,L-A-3-F,L,A,3,F,plate2,3200,16000,N,A,L-A-3-FA,4,0.833333333
H7,H-C-2-F,H,C,2,F,plate2,12800,11200,N,A,H-C-2-FA,5,0.466666667
H8,PA-B-1-F,PA,B,1,F,plate2,19200,12800,N,A,PA-B-1-FA,3,0.4
H9,PA-B-3-F,PA,B,3,F,plate2,14400,12800,N,A,PA-B-3-FA,3,0.470588235
H10,M-A-3-F,M,A,3,F,plate2,8000,17600,N,A,M-A-3-FA,2,0.6875
A1,V-B-2-F,V,B,2,F,plate3,76800,38400,N,A,V-B-2-FA,1,0.333333333
A2,L-C-2-F,L,C,2,F,plate3,14400,12800,N,A,L-C-2-FA,4,0.470588235
A3,H-B-1-F,H,B,1,F,plate3,64000,38400,N,A,H-B-1-FA,5,0.375
A4,H-B-3-F,H,B,3,F,plate3,20800,11200,N,A,H-B-3-FA,5,0.35
